Frame name,Datetime,Fork name,Disc.,Sizes,date,Frame code,Fork code,RefreshTimeUTC
CROCKETT MY20,2018-12-21 00:00:00,Crockett MY20,CX,47 - 61 (7),21.12.2018,TREK-055-CX,TREK-055-CX,2019-09-01 14:15:20
FEROCE DISC,2018-12-14 00:00:00,Feroce Disc,RD,43 – 58 (8),14.12.2018,JAVA-FERD-RD,JAVA-FERD-RD,2019-09-01 14:15:20
KUR23,2018-12-14 00:00:00,KU-R23,RD,49 - 61 (5),14.12.2018,KUOT-KU23-RD,KUOT-KU23-RD,2019-09-01 14:15:20
STRATTOS,2018-12-14 00:00:00,STRATTOS,RD,43 – 60 (7),14.12.2018,PTIS-STR-RD,PTIS-STR-RD,2019-09-01 14:15:20
RONIN  R,2018-12-14 00:00:00,Ronin - R,RD,45 – 52 (5),14.12.2018,KAZE-ROR-RD,KAZE-ROR-RD,2019-09-01 14:15:20
007 ROAD,2018-12-14 00:00:00,007 Road,RD,46 – 58 (5),14.12.2018,AST-007-RD,AST-007-RD,2019-09-01 14:15:20
NECER,2018-12-13 00:00:00,NECER,RD,49 - 58 (5),13.12.2018,CBT-NEC-RD,CBT-NEC-RD,2019-09-01 14:15:20
R96E,2018-12-10 00:00:00,R96E,TR,SX/S/M/L,10.12.2018,LOOK-R96E-TR,LOOK-R96E-TR,2019-09-01 14:15:20
CHRONO,2018-11-30 00:00:00,CHRONO,TT,S – M - L,30.11.2018,BTWI-CHR-TT,BTWI-CHR-TT,2019-09-01 14:15:20
AURO,2018-11-30 00:00:00,AURO,TT,XS – L (4),30.11.2018,VITU-AURO-TT,VITU-AURO-TT,2019-09-01 14:15:20
DREAMLINE,2018-11-28 00:00:00,DREAMLINE,RD,XS/S/M/L/XL,28.11.2018,ADRI-DRM-RD,ADRI-DRM-RD,2019-09-01 14:15:20
DARDO DISC,2018-11-27 00:00:00,Reflex Disc,RD,XXS - XXL (7),27.11.2018,FOND-DARD-RD,FOND-REFD-RD,2019-09-01 14:15:20
SLIKER PRO,2018-11-27 00:00:00,Sliker Pro,RD,48 – 60 (5),27.11.2018,THOM-SPRO-RD,THOM-SPRO-RD,2019-09-01 14:15:20
HP25,2018-11-27 00:00:00,HP25,RD,47 - 59 (7),27.11.2018,RAIK-HP25-RD,RAIK-HP25-RD,2019-09-01 14:15:20
AJ1 DISC,2018-11-23 00:00:00,AJ-1 Disc,RD,46.5 - 56 (4),23.11.2018,WDN-AJ1D-RD,WDN-AJ1D-RD,2019-09-01 14:15:20
525,2018-11-15 00:00:00,525,RD,XS - XL (5),15.11.2018,EMX-525-RD,EMX-525-RD,2019-09-01 14:15:20
525 DISC,2018-11-15 00:00:00,525 Disc,RD,XS - XL (5),15.11.2018,EMX-525D-RD,EMX-525D-RD,2019-09-01 14:15:20
BOND 2.0,2018-11-14 00:00:00,BOND 2.0,RD,XS – XL (5),14.11.2018,DIAM-B02-RD,DIAM-B02-RD,2019-09-01 14:15:20
VELTRIX CALIPER,2018-11-14 00:00:00,XS(50) – XL(58), ,XS(50) – XL(58), , , ,2019-09-01 14:15:20
ROADMACHINE 20,2018-11-14 00:00:00,Roadmachine 20,Roadmachine 20 RD,47 - 61 (6),14.11.2018,BMC-RDMA-RD,BMC-RDMA-RD,2019-09-01 14:15:20
MR1S DB,2018-10-29 00:00:00,MR1s DB,RD,XXXS – XXL (8),29.10.2018,DARE-MR1D-RD,DARE-MR1D-RD,2019-09-01 14:15:20
SUPERSIX EVO 3 DISC,2018-10-25 00:00:00,SuperSix EVO 3 Disc,RD,44 - 62 (8),25.10.2018,CANN-S6D-RD,CANN-S6D-RD,2019-09-01 14:15:20
SUPERSIX EVO 3,2018-10-25 00:00:00,SuperSix EVO 3,RD,44 - 62 (8),25.10.2018,CANN-S6R-RD,CANN-S6R-RD,2019-09-01 14:15:20
AERO FLOW EX,2018-10-16 00:00:00,Aero Flow EX,RD,XXS – XXL (7),16.10.2018,FOUR-AFEX-RD,FOUR-AFEX-RD,2019-09-01 14:15:20
E118 PRO,2018-10-15 00:00:00,E-118 Pro, , , , , ,2019-09-01 14:15:20
BOND DISC,2018-10-15 00:00:00,BOND Disc,RD,XS – XL (5),15.10.2018,DIAM-B2D-RD,DIAM-B2D-RD,2019-09-01 14:15:20
765G,2018-10-09 00:00:00,765F,CX,XS/S/M/L/XL,09.10.2018,LOOK-765G-CX,LOOK-765F-CX,2019-09-01 14:15:20
STREAMLINE,2018-10-09 00:00:00,STREAMLINE,RD,XS/S/M/L/XL,09.10.2018,ADRI-STR-RD,ADRI-STR-RD,2019-09-01 14:15:20
CROSSISTA,2018-10-05 00:00:00,CX,490 - 580 (6), ,PINA-030-CX, , ,2019-09-01 14:15:20
BTB,2018-10-03 00:00:00,BTB,TR,52 – 62 (6),03.10.2018,DIXI-BTB-TR,DIXI-BTB-TR,2019-09-01 14:15:20
XELIUS SL 2 DISC,2018-09-28 00:00:00,XELIUS SL 2 Disc,RD,46 - 61 (6),28.09.2018,LAPI-XS2D-RD,LAPI-XS2D-RD,2019-09-01 14:15:20
AR,2018-09-27 00:00:00,AR,RD,48 - 61 (6),27.09.2018,FELT-AR-RD,FELT-AR-RD,2019-09-01 14:15:20
ROUBAIX MY20,2018-09-27 00:00:00,ROUBAIX MY20,RD,49 - 64 (10),27.09.2018,SPE-RB20-RD,SPE-RB20-RD,2019-09-01 14:15:20
NKTT DISC,2018-09-27 00:00:00,NKTT Disc,TT,S - XL (4),27.09.2018,DIAM-NKTD-TT,DIAM-NKTD-TT,2019-09-01 14:15:20
PRP,2018-09-25 00:00:00,PRP,TR,SS - L (4),25.09.2018,BSC-PRP-TR,BSC-PRP-TR,2019-09-01 14:15:20
EMONDA ALR DISC,2018-09-18 00:00:00,Emonda ALR Disc,RD,47 - 64 (9),18.09.2018,TREK-054-RD,TREK-054-RD,2019-09-01 14:15:20
EMONDA ALR CALIPER,2018-09-18 00:00:00,Emonda ALR Caliper,RD,44 - 62 (9),18.09.2018,TREK-053-RD,TREK-053-RD,2019-09-01 14:15:20
RACE KANON,2018-09-13 00:00:00,Race Kanon,RD,44 - 54 (5),13.09.2018,KAZE-RKAN-RD,KAZE-RKAN-RD,2019-09-01 14:15:20
HOLDSWORTH ROI DE,2018-09-12 00:00:00,HOLDSWORTH Roi de, , , , , ,2019-09-01 14:15:20
SUPERSTAR DISC,2018-09-06 00:00:00,SUPERSTAR DISC,RD,XS - XL (5),06.09.2018,CINE-SUPD-RD,CINE-SUPD-RD,2019-09-01 14:15:20
PALTA,2018-09-06 00:00:00,PALTA,CX,450 - 580 (5),06.09.2018,BAS-PALT-CX,BAS-PALT-CX,2019-09-01 14:15:20
DIAMANTE 2019 DISC,2018-09-06 00:00:00,DIAMANTE 2019 DISC,RD,450 - 610 (7),06.09.2018,BAS-DIA5-RD,BAS-DIA5-RD,2019-09-01 14:15:20
AEROFLIGHT,2018-08-29 00:00:00,AEROFLIGHT,RD,XS - L (4),29.08.2018,YON-AERO-RD,YON-AERO-RD,2019-09-01 14:15:20
ZERO LTD,2018-08-20 00:00:00,ZERO LTD,RD,XS - XXL (6),20.08.2018,WIL-ZER3-RD,WIL-ZER3-RD,2019-09-01 14:15:20
HURU RIM,2018-08-17 00:00:00,HURU Rim,RD,XS - XL (5),17.08.2018,CHA2-HUR-RD,CHA2-HUR-RD,2019-09-01 14:15:20
HURU DISC,2018-08-17 00:00:00,HURU Disc,RD,XS - XL (5),17.08.2018,CHA2-HUD-RD,CHA2-HUD-RD,2019-09-01 14:15:20
INFINITO CV DISC,2018-08-17 00:00:00,INFINITO CV DISC,RD,470 - 610 (7),17.08.2018,BIAN-INF3-RD,BIAN-INF3-RD,2019-09-01 14:15:20
EUREKA AIR DISC,2018-08-16 00:00:00,EUREKA AIR DISC,RD,XXS - XL (6),16.08.2018,GUER-EU5-RD,GUER-EU5-RD,2019-09-01 14:15:20
F TEMPO,2018-08-13 00:00:00,F TEMPO,TT,500 - 560 (4),13.08.2018,FARA-FTP-TT,FARA-FTP-TT,2019-09-01 14:15:20
ULTRA TT,2018-07-16 00:00:00,ULTRA TT,RD,48 - 56 (5),16.07.2018,RIBB-ULTR-TT,RIBB-ULTR-TT,2019-09-01 14:15:20
RT01,2018-07-16 00:00:00,RT01,TT,XS - L (4),16.07.2018,GUST-RT01-TT,GUST-RT01-TT,2019-09-01 14:15:20
MAMBA R,2018-07-16 00:00:00,MAMBA R,RD,XS - XL (5),16.07.2018,CEEP-MAMB-RD,CEEP-MAMB-RD,2019-09-01 14:15:20
DIAMANTE 2019,2018-07-04 00:00:00,DIAMANTE 2019,RD,450 - 610 (7),04.07.2018,BAS-DIA4-RD,BAS-DIA4-RD,2019-09-01 14:15:20
INFLITE AL SLX R086,2018-07-04 00:00:00,One One Four SLX Disc F055,CANY-F055-CX, , , , ,2019-09-01 14:15:20
NS1,2018-07-03 00:00:00,NS1,RD,XS - XL (6),03.07.2018,VENT-NS1-RD,VENT-NS1-RD,2019-09-01 14:15:20
795 BLADE RS DISC,2018-06-14 00:00:00,795 Blade RS Disc,RD,XS - XL (5),14.06.2018,LOOK-795D-RD,LOOK-795D-RD,2019-09-01 14:15:20
OLTRE XR4 CV DISC,2018-06-14 00:00:00,OLTRE XR4 CV DISC,RD,47 - 61 (7),14.06.2018,BIAN-OL4D-RD,BIAN-OL4D-RD,2019-09-01 14:15:20
S3 RIM MY19,2018-06-06 00:00:00,FK61,RD,48 - 61 (6),06.06.2018,CERV-F122-RD,CERV-FK61-RD,2019-09-01 14:15:20
ZOLDER PRO,2018-05-30 00:00:00,ZOLDER PRO,CX,48 - 58 (6),30.05.2018,BIAN-ZOL2-CX,BIAN-ZOL2-CX,2019-09-01 14:15:20
SUPERSTAR CALIPER,2018-05-28 00:00:00,FUTURA Caliper,RD,XS - XL (5),28.05.2018,CINE-SUPC-RD,CINE-FUTC-RD,2019-09-01 14:15:20
PRC,2018-05-22 00:00:00,PRC,TR,S - L (3),22.05.2018,BSC-PRC-TR,BSC-PRC-TR,2019-09-01 14:15:20
TIME WARP TT,2018-05-18 00:00:00,Time WARP TT,TT,50-54-58,18.05.2018,MERI-TW2-TT,MERI-TW2-TT,2019-09-01 14:15:20
CENTO 1 NDR,2018-05-17 00:00:00,CENTO 1 NDR,RD,XS - XXL (6),17.05.2018,WIL-CE06-RD,WIL-CE06-RD,2019-09-01 14:15:20
CAYIN MY19,2018-05-14 00:00:00,CAYIN MY19,RD,440 - 510 (4),14.05.2018,VGL-CAY4-RD,VGL-CAY4-RD,2019-09-01 14:15:20
AIR 2018,2018-05-11 00:00:00,R7,RD,XS - XL (5),11.05.2018,BOAR-AIR2-RD,BOAR-AIR2-RD,2019-09-01 14:15:20
AJ62,2018-05-09 00:00:00,AJ-62,RD,45 - 50 (3),09.05.2018,WDN-AJ62-RD,WDN-AJ62-RD,2019-09-01 14:15:20
CAPELLA,2018-05-09 00:00:00,Capella, , , , , ,2019-09-01 14:15:20
TRANSONIC RIM,2018-05-08 00:00:00,TRANSONIC RIM,RD,46 - 61 (7),08.05.2018,FUJI-TRAR-RD,FUJI-TRAR-RD,2019-09-01 14:15:20
NITROGEN DISC,2018-05-07 00:00:00,NITROGEN DISC,RD,XS - XL (5),07.05.2018,AR18-NI02-RD,AR18-NI02-RD,2019-09-01 14:15:20
TTS02,2018-05-04 00:00:00,TTS02,TT,48 - 56 (5),04.05.2018,POD-TTS2-TT,POD-TTS2-TT,2019-09-01 14:15:20
REVELATOR SOLUS,2018-05-04 00:00:00,REVELATOR SOLUS, , , , , ,2019-09-01 14:15:20
MERX,2018-05-02 00:00:00,RD, , , ,RD, ,2019-09-01 14:15:20
SCORPION SL,2018-05-01 00:00:00,SCORPION SL,RD,48 - 60 (5),01.05.2018,HRIN-SCSL-RD,HRIN-SCSL-RD,2019-09-01 14:15:20
LION AERO,2018-04-20 00:00:00,LION AERO,RD,500 - 570 (4),20.04.2018,HRIN-LIAE-RD,HRIN-LIAE-RD,2019-09-01 14:15:20
ZERO DISC,2018-04-20 00:00:00,ZERO DISC,RD,XS - XL (5),20.04.2018,GEN-0DI-RD,GEN-0DI-RD,2019-09-01 14:15:20
AERIUM TT 19,2018-04-19 00:00:00,AERIUM TT 19,TT,XS - L (4),19.04.2018,CUBE-AE03-TT,CUBE-AE03-TT,2019-09-01 14:15:20
MADONE MY2019,2018-04-19 00:00:00,Madone MY2019, , , , , ,2019-09-01 14:15:20
S5 MY19,2018-04-17 00:00:00,FK60,RD,48 - 58 (5),17.04.2018,CERV-S503-RD,CERV-FK60-RD,2019-09-01 14:15:20
DEFYADV PRO MY19,2018-04-17 00:00:00, , , , , , ,2019-09-01 14:15:20
S3 DISC MY19,2018-04-17 00:00:00,FK59,RD,48 - 61 (6),17.04.2018,CERV-S3D2-RD,CERV-FK59-RD,2019-09-01 14:15:20
NOAH FAST DISC,2018-04-17 00:00:00,NOAH FAST DISC,RD,XS - XL (5),17.04.2018,RID-021-RD,RID-021-RD,2019-09-01 14:15:20
NOAH FAST,2018-04-17 00:00:00,NOAH FAST,RD,XS - XL (5),17.04.2018,RID-020-RD,RID-020-RD,2019-09-01 14:15:20
AIRMAN,2018-04-17 00:00:00,AIRMAN,TT,S - XL (4),17.04.2018,AUTH-AIR-TT,AUTH-AIR-TT,2019-09-01 14:15:20
BRAKE MY19  PROPEL,2018-04-17 00:00:00,brake MY19 / PROPEL, , , , , ,2019-09-01 14:15:20
MY19  ENVILIV ADV,2018-04-17 00:00:00,MY19 / ENVILIV Adv, , , , , ,2019-09-01 14:15:20
ELLIOT MY18,2018-04-16 00:00:00,ELLIOT MY18,RD,44 - 53 (5),16.04.2018,VGL-EL03-RD,VGL-EL03-RD,2019-09-01 14:15:20
