,Frame name,Datetime,Fork name,Disc.,Sizes,date,Frame code,Fork code,RefreshTimeUTC
112,ENVILIV ADV PRO DISCMY19  ENVILIV ADVDISC MY19,2018-04-17 00:00:00,RD,PROPEL Adv discMY18,XXS - L (5),17.04.2018,GIAN-024-RD,GIAN-P18-RD,2020-06-24 20:42:04
113,NOAH FAST,2018-04-17 00:00:00,RD,NOAH FAST,XS - XL (5),17.04.2018,RID-020-RD,RID-020-RD,2020-06-24 20:42:04
114,AIRMAN,2018-04-17 00:00:00,TT,AIRMAN,S - XL (4),17.04.2018,AUTH-AIR-TT,AUTH-AIR-TT,2020-06-24 20:42:04
115,PROPEL ADV PRO RIMBRAKE MY19  PROPELADV RIM BRAKE MY19,2018-04-17 00:00:00,RD,PROPEL Adv rimbrake MY19,XS - XL (6),17.04.2018,GIAN-023-RD,GIAN-023-RD,2020-06-24 20:42:04
116,ORCA AERO DISC 18,2018-04-13 00:00:00,ORCA AERO DISC 18,RD,47 - 60 (7),ORB-ORC8-RD,13.04.2018,ORB-ORC8-RD,2020-06-24 20:42:04
117,Timemachine Road 1,2018-04-13 00:00:00,Timemachine Road 1,Timemachine Road 1 RD,47 - 61 (6),13.04.2018,BMC-TMRD-RD,BMC-TMRD-RD,2020-06-24 20:42:04
118,Timemachine 1 Disc,2018-04-13 00:00:00,Timemachine 1 Disc,Timemachine 1 Disc TT,S - L (4),13.04.2018,BMC-023-TT,BMC-023-TT,2020-06-24 20:42:04
119,ALR 1 Rim,2018-04-11 00:00:00,ALR 1 Rim,TeamMachine RD,47 - 60 (5),11.04.2018,BMC-ALRR-RD,BMC-TEAM-RD,2020-06-24 20:42:04
120,ALR 1 Disc,2018-04-11 00:00:00,ALR 1 Disc,TeamMachine Disc RD,47 - 60 (5),11.04.2018,BMC-ALRD-RD,BMC-SLRD-RD,2020-06-24 20:42:04
121,CARBONEX DISC,2018-03-28 00:00:00,RD,CARBONEX DISC,XXS - M (4),28.03.2018,YON-CADI-RD,YON-CADI-RD,2020-06-24 20:42:04
122,KTM-REV5-RD,2018-03-28 00:00:00, , , , , ,MY19,2020-06-24 20:42:04
123,M8  EOS,2018-03-28 00:00:00,RD,M8 / EOS,440 - 570 (5),28.03.2018,DIZO-M8ES-RD,DIZO-M8ES-RD,2020-06-24 20:42:04
124,501R-BIC1-TR,2018-03-22 00:00:00,TR,Bicycle 1,SM - LG (19),22.03.2018,501R-BIC1-TR,DOL-DF4-TR,2020-06-24 20:42:04
125,ALPE DHUEZ 21,2018-03-19 00:00:00,RD,TFP02,S - M (2),19.03.2018,TIME-AH21-RD,TIME-TFP2-RD,2020-06-24 20:42:04
126,TSR,2018-03-15 00:00:00,TT,TSR+,XXS - L (5),15.03.2018,DARE-TSR-TT,DARE-TSR-TT,2020-06-24 20:42:04
127,PROTOS MY2017DISC,2018-02-27 00:00:00,RD,PROTOS MY2017DISC,XXS - XXXL (8),27.02.2018,DER-PRO3-RD,DER-PRO3-RD,2020-06-24 20:42:04
128,DOMANE SL DISC,2018-02-25 00:00:00,ISO Speed full carbonE2 Disc mount,RD,47 - 62 (8),25.02.2018,TREK-056-RD,TREK-ISFD-RD,2020-06-24 20:42:04
129,DOMANE SLR DISC,2018-02-25 00:00:00,Domane SLR Disc,RD,47 - 62 (8),25.02.2018,TREK-057-RD,TREK-057-RD,2020-06-24 20:42:04
130,PRIDE,2018-02-21 00:00:00,RD,PRIDE,XXS - XL (6),21.02.2018,SIMP-PRID-RD,SIMP-PRID-RD,2020-06-24 20:42:04
131,FALCO 2,2018-02-16 00:00:00,RD,FALCO 2,43 - 58 (7),16.02.2018,JAVA-FAL2-RD,JAVA-FAL2-RD,2020-06-24 20:42:04
132,TURBINE,2018-02-09 00:00:00,TT,TURBINE,S - L (3),09.02.2018,WIL-TURB-TT,WIL-TURB-TT,2020-06-24 20:42:04
133,ONE 2017 DISC,2018-02-07 00:00:00,RD,FK-06,46 - 61 (7),07.02.2018,FACT-ONE2-RD,FACT-ONE2-RD,2020-06-24 20:42:04
134,TT900,2018-01-29 00:00:00,TT,TT900,45 - 56 (5),29.01.2018,PYTH-TT9-TT,PYTH-TT9-TT,2020-06-24 20:42:04
135,ALPE DHUEZ 1,2018-01-24 00:00:00,RD,TFP02,S - M (2),24.01.2018,TIME-AH1-RD,TIME-TFP2-RD,2020-06-24 20:42:04
136,S6,2018-01-24 00:00:00,RD,S6,440 - 570 (5),24.01.2018,DIZO-S6-RD,DIZO-S6-RD,2020-06-24 20:42:04
137,TT 01,2018-01-16 00:00:00,TT,TT 01,500 - 560 (4),16.01.2018,SALC-TT01-TT,SALC-TT01-TT,2020-06-24 20:42:04
138,TR 01,2018-01-16 00:00:00,TR,TR 01,480 - 570 (4),16.01.2018,SALC-TR01-TR,SALC-TR01-TR,2020-06-24 20:42:04
139,FP03,2018-01-11 00:00:00,TR,FP03,S - XL (4),11.01.2018,S1N-FP03-TR,S1N-FP03-TR,2020-06-24 20:42:04
140,ZERO SL,2018-01-04 00:00:00,RD,ZERO SL,XS - XL (5),04.01.2018,GEN-0SL-RD,GEN-0SL-RD,2020-06-24 20:42:04
141,ONE 2017,2017-12-21 00:00:00,RD,FK-02,46 - 61 (7),21.12.2017,FACT-ONE-RD,FACT-ONE-RD,2020-06-24 20:42:04
142,TT03,2017-12-12 00:00:00,TT,TT-03,534 - 575 (4),12.12.2017,DER-TT03-TT,DER-TT03-TT,2020-06-24 20:42:04
143,OLTRE XR3 DISC,2017-10-18 00:00:00,RD,OLTRE XR3 DISC,47 - 61 (7),18.10.2017,BIAN-OL3D-RD,BIAN-OL3D-RD,2020-06-24 20:42:04
144,ATM,2017-10-18 00:00:00, ,isc., , , , ,2020-06-24 20:42:04
145,CORSA DR 2018,2017-09-12 00:00:00,RD,S - XL (6),12.09.2017,AVNT-CDR2-RD,AVNT-CDR2-RD,CORSA DR 2018,2020-06-24 20:42:04
